block_number,timestamp,timestamp_ist,base_fee_gwei,gas_used,gas_limit,tx_count
22294173,2025-04-18T06:43:47+00:00,2025-04-18T12:13:47+05:30,0.34154097,27255267,35894467,94
22294174,2025-04-18T06:43:59+00:00,2025-04-18T12:13:59+05:30,0.363682788,35919827,35929519,140
22294175,2025-04-18T06:44:11+00:00,2025-04-18T12:14:11+05:30,0.409118613,14563593,35894433,133
22294176,2025-04-18T06:44:23+00:00,2025-04-18T12:14:23+05:30,0.399477124,15466824,35929485,114
22294177,2025-04-18T06:44:35+00:00,2025-04-18T12:14:35+05:30,0.392533933,15233661,35964571,131
22294178,2025-04-18T06:44:47+00:00,2025-04-18T12:14:47+05:30,0.385033995,14372358,35999691,156
22294179,2025-04-18T06:44:59+00:00,2025-04-18T12:14:59+05:30,0.375334566,12279449,36000000,127
22294180,2025-04-18T06:45:11+00:00,2025-04-18T12:15:11+05:30,0.360424007,10640075,36000000,128
22294181,2025-04-18T06:45:23+00:00,2025-04-18T12:15:23+05:30,0.342002524,19573539,35964845,165
22294182,2025-04-18T06:45:35+00:00,2025-04-18T12:15:35+05:30,0.345785148,23408467,35999965,149
22294183,2025-04-18T06:45:47+00:00,2025-04-18T12:15:47+05:30,0.358772478,6822893,36000000,103
22294184,2025-04-18T06:45:59+00:00,2025-04-18T12:15:59+05:30,0.33092499,35949268,35964845,155
22294185,2025-04-18T06:46:11+00:00,2025-04-18T12:16:11+05:30,0.372254783,15696306,35929725,155
22294186,2025-04-18T06:46:23+00:00,2025-04-18T12:16:23+05:30,0.366378863,14429475,35894639,124
22294187,2025-04-18T06:46:35+00:00,2025-04-18T12:16:35+05:30,0.357402149,14444915,35859587,102
22294188,2025-04-18T06:46:47+00:00,2025-04-18T12:16:47+05:30,0.348718956,12562449,35894605,57
22294189,2025-04-18T06:46:59+00:00,2025-04-18T12:16:59+05:30,0.335640387,18950109,35929657,165
22294190,2025-04-18T06:47:11+00:00,2025-04-18T12:17:11+05:30,0.337941411,15061351,35964743,142
22294191,2025-04-18T06:47:23+00:00,2025-04-18T12:17:23+05:30,0.331079597,31787371,35999863,193
22294192,2025-04-18T06:47:35+00:00,2025-04-18T12:17:35+05:30,0.362779302,12269235,36000000,141
22294193,2025-04-18T06:47:47+00:00,2025-04-18T12:17:47+05:30,0.348341782,15676894,36000000,137
22294194,2025-04-18T06:47:59+00:00,2025-04-18T12:17:59+05:30,0.342722096,6841826,35964845,81
22294195,2025-04-18T06:48:11+00:00,2025-04-18T12:18:11+05:30,0.316181397,35864000,35999965,284
22294196,2025-04-18T06:48:23+00:00,2025-04-18T12:18:23+05:30,0.355405534,23223799,36000000,132
22294197,2025-04-18T06:48:35+00:00,2025-04-18T12:18:35+05:30,0.36829836,10424088,36000000,119
22294198,2025-04-18T06:48:47+00:00,2025-04-18T12:18:47+05:30,0.348922,11996940,35964845,150
22294199,2025-04-18T06:48:59+00:00,2025-04-18T12:18:59+05:30,0.334404585,31341489,35929725,140
22294200,2025-04-18T06:49:11+00:00,2025-04-18T12:19:11+05:30,0.36552927,13034918,35964811,126
22294201,2025-04-18T06:49:23+00:00,2025-04-18T12:19:23+05:30,0.352958293,14036946,35999931,123
22294202,2025-04-18T06:49:35+00:00,2025-04-18T12:19:35+05:30,0.343244522,27939999,36000000,125
22294203,2025-04-18T06:49:47+00:00,2025-04-18T12:19:47+05:30,0.366937926,14072814,35964845,115
22294204,2025-04-18T06:49:59+00:00,2025-04-18T12:19:59+05:30,0.356965803,9106464,35929725,111
22294205,2025-04-18T06:50:11+00:00,2025-04-18T12:20:11+05:30,0.334963511,35875320,35894639,190
22294206,2025-04-18T06:50:23+00:00,2025-04-18T12:20:23+05:30,0.376788881,11701324,35859587,121
22294207,2025-04-18T06:50:35+00:00,2025-04-18T12:20:35+05:30,0.36042772,14261227,35894605,126
22294208,2025-04-18T06:50:47+00:00,2025-04-18T12:20:47+05:30,0.351174494,12306579,35929657,161
22294209,2025-04-18T06:50:59+00:00,2025-04-18T12:20:59+05:30,0.33734864,31840798,35964743,153
22294210,2025-04-18T06:51:11+00:00,2025-04-18T12:21:11+05:30,0.369846589,10403248,35929623,117
22294211,2025-04-18T06:51:23+00:00,2025-04-18T12:21:23+05:30,0.350387588,26572565,35964709,107
22294212,2025-04-18T06:51:35+00:00,2025-04-18T12:21:35+05:30,0.371310205,4353448,35999829,80
22294213,2025-04-18T06:51:47+00:00,2025-04-18T12:21:47+05:30,0.336122037,35991180,36000000,159
22294214,2025-04-18T06:51:59+00:00,2025-04-18T12:21:59+05:30,0.378116704,17111314,36000000,166
22294215,2025-04-18T06:52:11+00:00,2025-04-18T12:22:11+05:30,0.375783184,13235819,36000000,141
22294216,2025-04-18T06:52:23+00:00,2025-04-18T12:22:23+05:30,0.363350552,29117788,35964845,143
22294217,2025-04-18T06:52:35+00:00,2025-04-18T12:22:35+05:30,0.391475527,12981402,35929725,110
22294218,2025-04-18T06:52:47+00:00,2025-04-18T12:22:47+05:30,0.377901094,11765975,35964811,135
22294219,2025-04-18T06:52:59+00:00,2025-04-18T12:22:59+05:30,0.361571273,14869806,35999931,185
22294220,2025-04-18T06:53:11+00:00,2025-04-18T12:23:11+05:30,0.353711706,4348856,35964776,93
22294221,2025-04-18T06:53:23+00:00,2025-04-18T12:23:23+05:30,0.320190437,35914866,35929656,217
22294222,2025-04-18T06:53:35+00:00,2025-04-18T12:23:35+05:30,0.360181291,14722178,35964742,150
22294223,2025-04-18T06:53:47+00:00,2025-04-18T12:23:47+05:30,0.35201871,15384910,35999862,238
22294224,2025-04-18T06:53:59+00:00,2025-04-18T12:23:59+05:30,0.345626073,21608114,35964707,131
22294225,2025-04-18T06:54:11+00:00,2025-04-18T12:24:11+05:30,0.354337096,14845464,35999827,144
22294226,2025-04-18T06:54:23+00:00,2025-04-18T12:24:23+05:30,0.346574987,29436816,35964672,150
22294227,2025-04-18T06:54:35+00:00,2025-04-18T12:24:35+05:30,0.374170374,15576352,35999792,148
22294228,2025-04-18T06:54:47+00:00,2025-04-18T12:24:47+05:30,0.367872988,12070182,36000000,98
22294229,2025-04-18T06:54:59+00:00,2025-04-18T12:24:59+05:30,0.352724239,11194625,35964845,141
22294230,2025-04-18T06:55:11+00:00,2025-04-18T12:25:11+05:30,0.336081455,28969538,35999965,158
22294231,2025-04-18T06:55:23+00:00,2025-04-18T12:25:23+05:30,0.361683316,14718145,35964810,165
22294232,2025-04-18T06:55:35+00:00,2025-04-18T12:25:35+05:30,0.353476486,12237039,35929690,135
22294233,2025-04-18T06:55:47+00:00,2025-04-18T12:25:47+05:30,0.33938894,30501148,35964776,152
22294234,2025-04-18T06:55:59+00:00,2025-04-18T12:25:59+05:30,0.368922897,7972388,35999896,74
22294235,2025-04-18T06:56:11+00:00,2025-04-18T12:26:11+05:30,0.34323257,22585276,35964741,105
22294236,2025-04-18T06:56:23+00:00,2025-04-18T12:26:23+05:30,0.354214626,5215838,35929621,81
22294237,2025-04-18T06:56:35+00:00,2025-04-18T12:26:35+05:30,0.322792973,32819210,35894535,255
22294238,2025-04-18T06:56:47+00:00,2025-04-18T12:26:47+05:30,0.356228138,13875911,35929587,122
22294239,2025-04-18T06:56:59+00:00,2025-04-18T12:26:59+05:30,0.346093212,14700709,35964673,90
22294240,2025-04-18T06:57:11+00:00,2025-04-18T12:27:11+05:30,0.33819832,35569375,35999793,229
22294241,2025-04-18T06:57:23+00:00,2025-04-18T12:27:23+05:30,0.379462227,10875772,36000000,106
22294242,2025-04-18T06:57:35+00:00,2025-04-18T12:27:35+05:30,0.360688787,11846391,36000000,107
22294243,2025-04-18T06:57:47+00:00,2025-04-18T12:27:47+05:30,0.345275331,19255580,36000000,187
22294244,2025-04-18T06:57:59+00:00,2025-04-18T12:27:59+05:30,0.348285892,17211552,36000000,128
22294245,2025-04-18T06:58:11+00:00,2025-04-18T12:28:11+05:30,0.346378911,4743164,36000000,79
22294246,2025-04-18T06:58:23+00:00,2025-04-18T12:28:23+05:30,0.314490797,8468779,35964845,166
22294247,2025-04-18T06:58:35+00:00,2025-04-18T12:28:35+05:30,0.293693035,1129086,35999965,8
22294248,2025-04-18T06:58:47+00:00,2025-04-18T12:28:47+05:30,0.259284219,35550219,35964810,222
22294249,2025-04-18T06:58:59+00:00,2025-04-18T12:28:59+05:30,0.290947509,35927962,35929690,245
22294250,2025-04-18T06:59:11+00:00,2025-04-18T12:29:11+05:30,0.327312449,21506993,35964776,163
22294251,2025-04-18T06:59:23+00:00,2025-04-18T12:29:23+05:30,0.335331733,35984638,35999896,195
22294252,2025-04-18T06:59:35+00:00,2025-04-18T12:29:35+05:30,0.377212668,13288370,36000000,92
22294253,2025-04-18T06:59:47+00:00,2025-04-18T12:29:47+05:30,0.364870401,18051645,36000000,173
22294254,2025-04-18T06:59:59+00:00,2025-04-18T12:29:59+05:30,0.36500126,5796633,35964845,54
22294255,2025-04-18T07:00:11+00:00,2025-04-18T12:30:11+05:30,0.334083371,23141020,35999965,254
22294256,2025-04-18T07:00:23+00:00,2025-04-18T12:30:23+05:30,0.346010711,30310653,35964810,286
22294257,2025-04-18T07:00:35+00:00,2025-04-18T12:30:35+05:30,0.375662653,18288495,35999930,150
22294258,2025-04-18T07:00:47+00:00,2025-04-18T12:30:47+05:30,0.376415362,19146454,36000000,202
22294259,2025-04-18T07:00:59+00:00,2025-04-18T12:30:59+05:30,0.379412187,14650313,35964845,159
22294260,2025-04-18T07:01:11+00:00,2025-04-18T12:31:11+05:30,0.370624142,20088881,35999965,170
22294261,2025-04-18T07:01:23+00:00,2025-04-18T12:31:23+05:30,0.376000511,13970279,36000000,179
22294262,2025-04-18T07:01:35+00:00,2025-04-18T12:31:35+05:30,0.365478448,16165275,35964845,165
22294263,2025-04-18T07:01:47+00:00,2025-04-18T12:31:47+05:30,0.36086194,14527627,35999965,168
22294264,2025-04-18T07:01:59+00:00,2025-04-18T12:31:59+05:30,0.35216026,11847689,35964810,152
22294265,2025-04-18T07:02:11+00:00,2025-04-18T12:32:11+05:30,0.337142781,18191573,35999930,145
22294266,2025-04-18T07:02:23+00:00,2025-04-18T12:32:23+05:30,0.337591387,34884867,36000000,126
22294267,2025-04-18T07:02:35+00:00,2025-04-18T12:32:35+05:30,0.377176009,9999755,36000000,92
22294268,2025-04-18T07:02:47+00:00,2025-04-18T12:32:47+05:30,0.356221145,21142235,36000000,176
22294269,2025-04-18T07:02:59+00:00,2025-04-18T12:32:59+05:30,0.363994273,6122556,35964845,65
22294270,2025-04-18T07:03:11+00:00,2025-04-18T12:33:11+05:30,0.333986335,35985300,35999965,175
22294271,2025-04-18T07:03:23+00:00,2025-04-18T12:33:23+05:30,0.375700615,27367191,36000000,228
22294272,2025-04-18T07:03:35+00:00,2025-04-18T12:33:35+05:30,0.400139916,13263346,35964845,128
