block_number,timestamp,timestamp_utc,base_fee_gwei,gas_used,gas_limit,tx_count,gas_used_ratio,legacy_tx_count,eip2930_tx_count,eip1559_tx_count
22358230,2025-04-27 05:15:11+00:00,2025-04-27T05:15:11+00:00,0.362360455,13866779,35929725,126,0.3859416959077755,14,2,108
22358231,2025-04-27 05:15:23+00:00,2025-04-27T05:15:23+00:00,0.352027902,14324898,35894639,158,0.3990818238901915,38,1,117
22358232,2025-04-27 05:15:35+00:00,2025-04-27T05:15:35+00:00,0.3431464,29330221,35929691,123,0.8163226619455202,24,2,95
22358233,2025-04-27 05:15:47+00:00,2025-04-27T05:15:47+00:00,0.370282647,14308638,35894605,120,0.398629209041303,12,1,106
22358234,2025-04-27 05:15:59+00:00,2025-04-27T05:15:59+00:00,0.360898687,10930041,35859553,61,0.3048013732909609,6,1,54
22358235,2025-04-27 05:16:11+00:00,2025-04-27T05:16:11+00:00,0.343286956,25968575,35894571,197,0.7234680420055724,35,0,161
22358236,2025-04-27 05:16:23+00:00,2025-04-27T05:16:23+00:00,0.362465373,11223510,35929623,102,0.3123748334347955,19,4,77
22358237,2025-04-27 05:16:35+00:00,2025-04-27T05:16:35+00:00,0.345463468,35951156,35964709,132,0.9996231583578224,18,0,112
22358238,2025-04-27 05:16:47+00:00,2025-04-27T05:16:47+00:00,0.388613857,16420889,35929589,125,0.4570296921570686,12,1,112
22358239,2025-04-27 05:16:59+00:00,2025-04-27T05:16:59+00:00,0.384439144,11587466,35964675,132,0.3221902046939114,54,1,74
22358240,2025-04-27 05:17:11+00:00,2025-04-27T05:17:11+00:00,0.367349884,12702674,35999795,161,0.3528540648634249,18,2,141
22358241,2025-04-27 05:17:23+00:00,2025-04-27T05:17:23+00:00,0.353836375,16014606,36000000,178,0.4448501666666666,31,1,142
22358242,2025-04-27 05:17:35+00:00,2025-04-27T05:17:35+00:00,0.348957871,30654873,35964845,107,0.852356599896371,20,2,83
22358243,2025-04-27 05:17:47+00:00,2025-04-27T05:17:47+00:00,0.379697275,16305229,35999965,101,0.4529234681200385,16,3,80
22358244,2025-04-27 05:17:59+00:00,2025-04-27T05:17:59+00:00,0.375228569,11979025,36000000,96,0.3327506944444444,14,0,80
22358245,2025-04-27 05:18:11+00:00,2025-04-27T05:18:11+00:00,0.35953939,12691613,36000000,137,0.3525448055555555,31,0,105
22358246,2025-04-27 05:18:23+00:00,2025-04-27T05:18:23+00:00,0.346285403,31982425,36000000,153,0.8884006944444445,39,2,112
22358247,2025-04-27 05:18:35+00:00,2025-04-27T05:18:35+00:00,0.379909775,13697169,35964845,130,0.3808488261245113,19,0,111
22358248,2025-04-27 05:18:47+00:00,2025-04-27T05:18:47+00:00,0.368593103,13069952,35999965,97,0.3630545751919481,17,4,73
22358249,2025-04-27 05:18:59+00:00,2025-04-27T05:18:59+00:00,0.35597382,3438943,36035120,62,0.0954330941592535,22,5,34
22358250,2025-04-27 05:19:11+00:00,2025-04-27T05:19:11+00:00,0.319970014,30711590,35999931,116,0.8531013573331571,68,2,45
22358251,2025-04-27 05:19:23+00:00,2025-04-27T05:19:23+00:00,0.348215477,35993650,36000000,186,0.9998236111111112,9,3,172
22358252,2025-04-27 05:19:35+00:00,2025-04-27T05:19:35+00:00,0.391727056,12321021,36000000,131,0.3422505833333333,7,4,118
22358253,2025-04-27 05:19:47+00:00,2025-04-27T05:19:47+00:00,0.376278378,12877145,36000000,117,0.3576984722222222,17,1,97
22358254,2025-04-27 05:19:59+00:00,2025-04-27T05:19:59+00:00,0.362892131,9407859,36000000,106,0.2613294166666666,12,1,92
22358255,2025-04-27 05:20:11+00:00,2025-04-27T05:20:11+00:00,0.341239212,5190580,36000000,113,0.1441827777777777,29,1,83
22358256,2025-04-27 05:20:23+00:00,2025-04-27T05:20:23+00:00,0.310884515,23232095,36000000,103,0.6453359722222223,22,2,77
22358257,2025-04-27 05:20:35+00:00,2025-04-27T05:20:35+00:00,0.32218019,35997319,36000000,114,0.9999255277777778,7,0,105
22358258,2025-04-27 05:20:47+00:00,2025-04-27T05:20:47+00:00,0.362446715,28338880,36000000,272,0.7871911111111111,23,0,247
22358259,2025-04-27 05:20:59+00:00,2025-04-27T05:20:59+00:00,0.388469583,13680076,36000000,75,0.3800021111111111,11,1,61
22358260,2025-04-27 05:21:11+00:00,2025-04-27T05:21:11+00:00,0.376815701,24336526,36000000,222,0.6760146111111112,25,4,192
22358261,2025-04-27 05:21:23+00:00,2025-04-27T05:21:23+00:00,0.393396968,0,36000000,0,0.0,0,0,0
22358262,2025-04-27 05:21:35+00:00,2025-04-27T05:21:35+00:00,0.344222347,28669264,35964845,314,0.7971468805162375,51,5,256
22358263,2025-04-27 05:21:47+00:00,2025-04-27T05:21:47+00:00,0.369793498,21823796,35999965,203,0.6062171449333353,17,2,182
22358264,2025-04-27 05:21:59+00:00,2025-04-27T05:21:59+00:00,0.379613101,16747952,36000000,135,0.4652208888888889,5,2,126
22358265,2025-04-27 05:22:11+00:00,2025-04-27T05:22:11+00:00,0.37631245,22324465,36000000,206,0.6201240277777778,27,2,176
22358266,2025-04-27 05:22:23+00:00,2025-04-27T05:22:23+00:00,0.387613491,16707048,36000000,153,0.4640846666666666,10,0,143
22358267,2025-04-27 05:22:35+00:00,2025-04-27T05:22:35+00:00,0.384133175,20035795,36000000,134,0.5565498611111112,7,0,124
22358268,2025-04-27 05:22:47+00:00,2025-04-27T05:22:47+00:00,0.389563844,15603980,36000000,135,0.4334438888888889,12,1,121
22358269,2025-04-27 05:22:59+00:00,2025-04-27T05:22:59+00:00,0.383081881,15653503,36000000,173,0.4348195277777777,18,2,151
22358270,2025-04-27 05:23:11+00:00,2025-04-27T05:23:11+00:00,0.376839517,15253522,36000000,133,0.4237089444444444,27,2,104
22358271,2025-04-27 05:23:23+00:00,2025-04-27T05:23:23+00:00,0.369652146,24307100,36000000,140,0.6751972222222222,25,1,113
22358272,2025-04-27 05:23:35+00:00,2025-04-27T05:23:35+00:00,0.385842653,21033125,36000000,167,0.5842534722222222,7,1,157
22358273,2025-04-27 05:23:47+00:00,2025-04-27T05:23:47+00:00,0.393969798,10277132,36000000,98,0.2854758888888888,6,1,91
22358274,2025-04-27 05:23:59+00:00,2025-04-27T05:23:59+00:00,0.372840793,18320377,36000000,165,0.5088993611111111,9,1,153
22358275,2025-04-27 05:24:11+00:00,2025-04-27T05:24:11+00:00,0.373670304,17599471,36000000,147,0.4888741944444444,17,2,127
22358276,2025-04-27 05:24:23+00:00,2025-04-27T05:24:23+00:00,0.372630959,32185420,36000000,102,0.8940394444444445,11,2,88
22358277,2025-04-27 05:24:35+00:00,2025-04-27T05:24:35+00:00,0.409338783,4059493,35964845,43,0.1128739189616971,2,1,40
22358278,2025-04-27 05:24:47+00:00,2025-04-27T05:24:47+00:00,0.369722354,25554853,35999965,239,0.7098577179172257,50,2,183
22358279,2025-04-27 05:24:59+00:00,2025-04-27T05:24:59+00:00,0.389119628,11079438,36000000,97,0.3077621666666666,10,1,84
22358280,2025-04-27 05:25:11+00:00,2025-04-27T05:25:11+00:00,0.37041875,15020555,36000000,142,0.4172376388888889,33,0,107
22358281,2025-04-27 05:25:23+00:00,2025-04-27T05:25:23+00:00,0.362754568,31469224,35964845,176,0.8749995724992002,21,3,151
22358282,2025-04-27 05:25:35+00:00,2025-04-27T05:25:35+00:00,0.396762772,10470291,35999965,112,0.29084169942943,13,0,96
